C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cartao.1_M1.xdf;03.10.19;11:51:52;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,01;-2,55;0,01;1,18;240,00;0,39;0,00;240,00;0,32;-0,00;240,00;-0,00;0,06;240,00;-0,00;0,06;240,00;0,42;240,00;-0,42
;0,01;0,81;0,01;0,60;244,00;0,40;0,00;244,00;0,32;-0,00;244,00;0,05;-0,04;244,00;0,06;-0,04;244,00;0,37;244,00;-0,37
;0,02;0,37;0,02;0,01;248,00;0,41;0,00;248,00;0,33;-0,00;248,00;-0,04;-0,00;248,00;-0,04;-0,00;248,00;0,33;248,00;-0,33
;0,02;-7,78;0,02;-1,38;252,00;0,42;0,00;252,00;0,33;-0,00;252,00;-0,01;0,01;252,00;-0,01;0,01;252,00;0,32;252,00;-0,32
;0,02;2,24;0,02;-7,61;256,00;0,43;0,00;256,00;0,33;-0,00;256,00;0,04;0,01;256,00;0,05;0,01;256,00;0,33;256,00;-0,33
;0,02;1,71;0,02;-3,93;260,00;0,44;0,00;260,00;0,34;-0,00;260,00;-0,06;-0,01;260,00;-0,06;-0,01;260,00;0,35;260,00;-0,35
;0,02;-0,10;0,02;5,20;264,00;0,45;0,00;264,00;0,34;-0,00;264,00;0,05;0,02;264,00;0,05;0,02;264,00;0,31;264,00;-0,31
;0,02;2,04;0,02;9,38;268,00;0,46;0,00;268,00;0,34;-0,00;268,00;-0,01;-0,03;268,00;-0,01;-0,03;268,00;0,27;268,00;-0,27
;0,02;2,78;0,02;4,29;272,00;0,46;0,00;272,00;0,35;-0,00;272,00;-0,03;0,01;272,00;-0,03;0,01;272,00;0,28;272,00;-0,28
;0,02;5,35;0,02;-0,22;276,00;0,48;0,00;276,00;0,35;-0,00;276,00;0,04;0,01;276,00;0,05;0,01;276,00;0,27;276,00;-0,27
