C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cortica.3_M2.xdf;03.10.19;11:54:33;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,01;0,51;0,01;-1,15;188,00;0,24;0,00;188,00;0,29;-0,00;188,00;0,01;-0,00;188,00;0,01;-0,00;188,00;0,69;188,00;-0,69
;0,01;1,34;0,01;0,15;192,00;0,25;0,00;192,00;0,30;-0,00;192,00;-0,01;0,01;192,00;-0,01;0,01;192,00;0,69;192,00;-0,69
;0,01;0,43;0,01;-0,43;196,00;0,25;0,00;196,00;0,31;-0,00;196,00;0,01;-0,01;196,00;0,01;-0,01;196,00;0,65;196,00;-0,65
;0,01;-1,57;0,01;-0,94;200,00;0,26;0,00;200,00;0,32;-0,00;200,00;-0,01;0,01;200,00;-0,01;0,01;200,00;0,66;200,00;-0,66
;0,01;-2,27;0,01;0,45;204,00;0,27;0,00;204,00;0,32;-0,00;204,00;0,00;-0,01;204,00;0,00;-0,01;204,00;0,67;204,00;-0,67
;0,01;-0,74;0,01;-1,62;208,00;0,27;0,00;208,00;0,33;-0,00;208,00;-0,00;0,01;208,00;-0,00;0,01;208,00;0,68;208,00;-0,68
;0,01;0,56;0,01;-0,16;212,00;0,28;0,00;212,00;0,34;-0,00;212,00;0,00;-0,01;212,00;0,00;-0,00;212,00;0,70;212,00;-0,70
;0,01;0,60;0,01;0,24;216,00;0,28;0,00;216,00;0,35;-0,00;216,00;0,00;0,00;216,00;0,00;0,00;216,00;0,70;216,00;-0,70
;0,01;0,24;0,01;0,00;220,00;0,29;0,00;220,00;0,36;-0,00;220,00;-0,00;-0,00;220,00;-0,00;-0,00;220,00;0,66;220,00;-0,66
;0,01;-0,15;0,01;1,46;224,00;0,29;0,00;224,00;0,37;-0,00;224,00;-0,00;-0,01;224,00;-0,00;-0,00;224,00;0,69;224,00;-0,69
;0,01;1,02;0,01;0,56;228,00;0,30;0,00;228,00;0,38;-0,00;228,00;0,01;0,01;228,00;0,01;0,01;228,00;0,68;228,00;-0,68
;0,01;1,65;0,01;-0,37;232,00;0,30;0,00;232,00;0,38;-0,00;232,00;-0,00;-0,00;232,00;-0,00;-0,00;232,00;0,68;232,00;-0,68
;0,01;0,09;0,01;-0,71;236,00;0,30;0,00;236,00;0,39;-0,00;236,00;0,00;0,01;236,00;0,00;0,01;236,00;0,70;236,00;-0,70
