C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\LaRocha.1_M2.xdf;03.10.19;11:54:57;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,03;-0,87;0,03;-0,36;416,00;0,20;0,20;416,00;0,88;-0,89;416,00;-0,01;-0,00;416,00;-0,00;-0,00;416,00;45,30;416,00;-45,30
;0,03;-0,62;0,03;-0,11;420,00;0,19;0,21;420,00;0,86;-0,94;420,00;0,00;0,00;420,00;0,00;0,00;420,00;47,64;420,00;-47,64
;0,03;-0,25;0,03;0,14;424,00;0,18;0,23;424,00;0,79;-0,99;424,00;-0,01;0,00;424,00;-0,00;-0,00;424,00;51,39;424,00;-51,39
;0,03;0,31;0,03;-0,20;428,00;0,18;0,24;428,00;0,74;-1,01;428,00;0,01;0,00;428,00;0,00;0,00;428,00;53,84;428,00;-53,84
;0,03;-0,10;0,03;-1,16;432,00;0,17;0,26;432,00;0,68;-1,01;432,00;0,01;-0,01;432,00;0,00;0,00;432,00;55,73;432,00;-55,73
;0,03;-0,87;0,03;-0,81;436,00;0,18;0,27;436,00;0,64;-0,99;436,00;-0,01;0,01;436,00;-0,01;-0,00;436,00;57,05;436,00;-57,05
;0,03;-0,70;0,03;0,01;440,00;0,18;0,28;440,00;0,63;-0,99;440,00;0,00;-0,00;440,00;0,00;0,00;440,00;57,65;440,00;-57,65
;0,03;-0,03;0,03;0,84;444,00;0,18;0,29;444,00;0,60;-0,99;444,00;-0,01;-0,00;444,00;-0,00;-0,00;444,00;58,59;444,00;-58,59
;0,03;0,55;0,03;0,01;448,00;0,18;0,30;448,00;0,58;-0,99;448,00;0,00;0,00;448,00;-0,00;0,00;448,00;59,56;448,00;-59,56
;0,03;0,04;0,03;0,01;452,00;0,17;0,31;452,00;0,56;-1,00;452,00;0,01;0,00;452,00;0,00;0,00;452,00;60,87;452,00;-60,87
;0,03;0,45;0,03;0,39;456,00;0,17;0,32;456,00;0,53;-1,00;456,00;-0,01;-0,00;456,00;-0,00;-0,01;456,00;61,98;456,00;-61,98
;0,03;0,68;0,03;0,54;460,00;0,17;0,33;460,00;0,52;-1,00;460,00;0,00;0,00;460,00;-0,00;0,00;460,00;62,73;460,00;-62,73
;0,03;0,71;0,03;0,76;464,00;0,17;0,34;464,00;0,49;-1,00;464,00;0,00;-0,01;464,00;0,00;-0,00;464,00;63,69;464,00;-63,69
;0,03;0,89;0,03;0,97;468,00;0,16;0,35;468,00;0,47;-1,01;468,00;-0,00;0,01;468,00;-0,01;0,00;468,00;64,93;468,00;-64,93
;0,03;1,06;0,03;0,34;472,00;0,16;0,36;472,00;0,45;-1,01;472,00;0,00;-0,01;472,00;0,00;-0,00;472,00;66,04;472,00;-66,04
;0,03;0,24;0,03;-0,40;476,00;0,16;0,37;476,00;0,42;-1,00;476,00;0,00;0,01;476,00;-0,00;0,00;476,00;67,08;476,00;-67,08
;0,03;-0,42;0,03;-0,31;480,00;0,16;0,38;480,00;0,41;-1,00;480,00;-0,01;-0,00;480,00;0,00;-0,00;480,00;67,83;480,00;-67,83
;0,03;-0,57;0,03;-0,25;484,00;0,15;0,39;484,00;0,38;-1,00;484,00;0,01;0,00;484,00;-0,00;0,00;484,00;69,18;484,00;-69,18
;0,03;-0,64;0,03;0,09;488,00;0,15;0,41;488,00;0,36;-0,99;488,00;-0,00;-0,01;488,00;0,00;-0,00;488,00;70,03;488,00;-70,03
;0,03;-0,31;0,03;-0,35;492,00;0,14;0,42;492,00;0,34;-0,99;492,00;-0,00;0,01;492,00;-0,00;0,00;492,00;71,01;492,00;-71,01
;0,03;-0,61;0,03;-0,65;496,00;0,14;0,43;496,00;0,32;-0,98;496,00;0,01;-0,00;496,00;0,00;0,01;496,00;71,89;496,00;-71,89
;0,03;-0,48;0,03;0,29;500,00;0,14;0,44;500,00;0,31;-0,97;500,00;-0,01;0,00;500,00;-0,00;-0,00;500,00;72,43;500,00;-72,43
;0,03;0,61;0,03;1,24;504,00;0,14;0,46;504,00;0,29;-0,96;504,00;-0,00;-0,00;504,00;0,00;-0,00;504,00;73,20;504,00;-73,20
